delta_c/2pi (MHz),Omega_p/2pi (MHz),Ion Amplitude (arb. units)
-997.9440193,6.173462195,0.361317893
-997.9440193,6.197050053,0.361555752
-997.9440193,6.220637911,0.361795724
-997.9440193,6.244225768,0.362036714
-997.9440193,6.267813626,0.362277624
-997.9440193,6.291401484,0.362517358
-997.9440193,6.314989342,0.362754819
-997.9440193,6.3385772,0.36298891
-997.9440193,6.362165057,0.363218534
-997.9440193,6.385752915,0.363442596
-997.9440193,6.409340773,0.363659997
-997.9440193,6.432928631,0.36386965
-997.9440193,6.456516489,0.364070518
-997.9440193,6.480104346,0.364261721
-997.9440193,6.503692204,0.364442655
-997.9440193,6.527280062,0.364613055
-997.9440193,6.55086792,0.364772946
-997.9440193,6.574455777,0.364922515
-997.9440193,6.598043635,0.365062011
-997.9440193,6.621631493,0.365191689
-997.9440193,6.645219351,0.365311809
-997.9440193,6.668807209,0.365422627
-997.9440193,6.692395066,0.365524401
-997.9440193,6.715982924,0.365617389
-997.9440193,6.739570782,0.365701848
-997.9440193,6.76315864,0.365778035
-997.9440193,6.786746498,0.365846208
-997.9440193,6.810334355,0.365906625
-997.9440193,6.833922213,0.365959543
-997.9440193,6.857510071,0.366005219
-997.9440193,6.881097929,0.366043911
-997.9440193,6.904685786,0.366075877
-997.9440193,6.928273644,0.366101374
-997.9440193,6.951861502,0.366120659
-997.9440193,6.97544936,0.366133991
-997.9440193,6.999037218,0.366141626
-997.9440193,7.022625075,0.366143822
-997.9440193,7.046212933,0.366140837
-997.9440193,7.069800791,0.366132927
-997.9440193,7.093388649,0.366120352
-997.9440193,7.116976506,0.366103367
-997.9440193,7.140564364,0.366082231
-997.9440193,7.164152222,0.366057201
-997.9440193,7.18774008,0.366028535
-997.9440193,7.211327938,0.36599649
-997.9440193,7.234915795,0.365961323
-997.9440193,7.258503653,0.365923293
-997.9440193,7.282091511,0.365882656
-997.9440193,7.305679369,0.365839671
-997.9440193,7.329267227,0.365794594
-997.9440193,7.352855084,0.365747683
-997.9440193,7.376442942,0.365699195
-997.9440193,7.4000308,0.365649389
-997.9440193,7.423618658,0.365598522
-997.9440193,7.447206515,0.365546851
-997.9440193,7.470794373,0.365494633
-997.9440193,7.494382231,0.365442126
-997.9440193,7.517970089,0.365391469
-997.9440193,7.541557947,0.365346715
-997.9440193,7.565145804,0.365313416
-996.4436988,0.512376327,0.317426645
-996.4436988,0.535964185,0.318134544
-996.4436988,0.559552042,0.319047639
-996.4436988,0.5831399,0.320024601
-996.4436988,0.606727758,0.320970268
-996.4436988,0.630315616,0.321841238
-996.4436988,0.653903473,0.322640773
-996.4436988,0.677491331,0.323372136
-996.4436988,0.701079189,0.324038589
-996.4436988,0.724667047,0.324643395
-996.4436988,0.748254905,0.325189816
-996.4436988,0.771842762,0.325681115
-996.4436988,0.79543062,0.326120553
-996.4436988,0.819018478,0.326511395
-996.4436988,0.842606336,0.326856901
-996.4436988,0.866194194,0.327160334
-996.4436988,0.889782051,0.327424958
-996.4436988,0.913369909,0.327654034
-996.4436988,0.936957767,0.327850824
-996.4436988,0.960545625,0.328018592
-996.4436988,0.984133482,0.328160599
-996.4436988,1.00772134,0.328280108
-996.4436988,1.031309198,0.328380382
-996.4436988,1.054897056,0.328464683
-996.4436988,1.078484914,0.328536273
-996.4436988,1.102072771,0.328598415
-996.4436988,1.125660629,0.328654371
-996.4436988,1.149248487,0.328707404
-996.4436988,1.172836345,0.328760777
-996.4436988,1.196424202,0.328817751
-996.4436988,1.22001206,0.328881589
-996.4436988,1.243599918,0.328955553
-996.4436988,1.267187776,0.329042907
-996.4436988,1.290775634,0.329146912
-996.4436988,1.314363491,0.32927083
-996.4436988,1.337951349,0.329417926
-996.4436988,1.361539207,0.329591459
-996.4436988,1.385127065,0.329794695
-996.4436988,1.408714923,0.330030893
-996.4436988,1.43230278,0.330303318
-996.4436988,1.455890638,0.330615232
-996.4436988,1.479478496,0.330969885
-996.4436988,1.503066354,0.331370289
-996.4436988,1.526654211,0.331818594
-996.4436988,1.550242069,0.33231511
-996.4436988,1.573829927,0.332857511
-996.4436988,1.597417785,0.333440889
-996.4436988,1.621005643,0.334058616
-996.4436988,1.6445935,0.334703289
-996.4436988,1.668181358,0.335367311
-996.4436988,1.691769216,0.336043078
-996.4436988,1.715357074,0.336722988
-996.4436988,1.738944932,0.337399438
-996.4436988,1.762532789,0.338064826
-996.4436988,1.786120647,0.338711547
-996.4436988,1.809708505,0.339331999
-996.4436988,1.833296363,0.33991858
-996.4436988,1.85688422,0.340463685
-996.4436988,1.880472078,0.340959714
-996.4436988,1.904059936,0.341399061
-996.4436988,1.927647794,0.341774125
-996.4436988,1.951235652,0.342077303
-996.4436988,1.974823509,0.342300991
-996.4436988,1.998411367,0.342437657
-996.4436988,2.021999225,0.342480452
-996.4436988,2.045587083,0.342424553
-996.4436988,2.069174941,0.342269012
-996.4436988,2.092762798,0.342017881
-996.4436988,2.116350656,0.34167961
-996.4436988,2.139938514,0.341265273
-996.4436988,2.163526372,0.340786993
-996.4436988,2.187114229,0.340257086
-996.4436988,2.210702087,0.339687869
-996.4436988,2.234289945,0.339091659
-996.4436988,2.257877803,0.338480772
-996.4436988,2.281465661,0.337867526
-996.4436988,2.305053518,0.337264236
-996.4436988,2.328641376,0.336683219
-996.4436988,2.352229234,0.336136793
-996.4436988,2.375817092,0.335637273
-996.4436988,2.39940495,0.335196977
-996.4436988,2.422992807,0.33482822
-996.4436988,2.446580665,0.334543317
-996.4436988,2.470168523,0.334354268
-996.4436988,2.493756381,0.334271653
-996.4436988,2.517344238,0.334302701
-996.4436988,2.540932096,0.33444934
-996.4436988,2.564519954,0.334707776
-996.4436988,2.588107812,0.335070022
-996.4436988,2.61169567,0.335526008
-996.4436988,2.635283527,0.336065024
-996.4436988,2.658871385,0.336676312
-996.4436988,2.682459243,0.337349115
-996.4436988,2.706047101,0.338072677
-996.4436988,2.729634959,0.33883624
-996.4436988,2.753222816,0.339629048
-996.4436988,2.776810674,0.340440343
-996.4436988,2.800398532,0.341259369
-996.4436988,2.82398639,0.342075367
-996.4436988,2.847574247,0.342877582
-996.4436988,2.871162105,0.343655256
-996.4436988,2.894749963,0.344397632
-996.4436988,2.918337821,0.345093953
-996.4436988,2.941925679,0.34573359
-996.4436988,2.965513536,0.346306717
-996.4436988,2.989101394,0.34680563
-996.4436988,3.012689252,0.347226319
-996.4436988,3.03627711,0.347569156
-996.4436988,3.059864967,0.347838036
-996.4436988,3.083452825,0.348038781
-996.4436988,3.107040683,0.348177898
-996.4436988,3.130628541,0.348261984
-996.4436988,3.154216399,0.348297634
-996.4436988,3.177804256,0.348291444
-996.4436988,3.201392114,0.348250008
-996.4436988,3.224979972,0.348179922
-996.4436988,3.24856783,0.348087783
-996.4436988,3.272155688,0.347980185
-996.4436988,3.295743545,0.347863724
-996.4436988,3.319331403,0.347744995
-996.4436988,3.342919261,0.347630595
-996.4436988,3.366507119,0.347527118
-996.4436988,3.390094976,0.34744116
