delta_c/2pi (MHz),Omega_p/2pi (MHz),EIT Amplitude (arb. units)
-996.4436988,1.031309198,0.014063496
-996.4436988,1.054897056,0.014701982
-996.4436988,1.078484914,0.015337782
-996.4436988,1.102072771,0.015966319
-996.4436988,1.125660629,0.016583022
-996.4436988,1.149248487,0.017183314
-996.4436988,1.172836345,0.017762623
-996.4436988,1.196424202,0.018316373
-996.4436988,1.22001206,0.018839992
-996.4436988,1.243599918,0.019328904
-996.4436988,1.267187776,0.019778535
-996.4436988,1.290775634,0.020184312
-996.4436988,1.314363491,0.020541661
-996.4436988,1.337951349,0.020846006
-996.4436988,1.361539207,0.021092775
-996.4436988,1.385127065,0.021277392
-996.4436988,1.408714923,0.021395284
-996.4436988,1.43230278,0.021441877
-996.4436988,1.455890638,0.021412596
-996.4436988,1.479478496,0.021302882
-996.4436988,1.503066354,0.021108472
-996.4436988,1.526654211,0.020826185
-996.4436988,1.550242069,0.020455127
-996.4436988,1.573829927,0.019997701
-996.4436988,1.597417785,0.01945953
-996.4436988,1.621005643,0.018848385
-996.4436988,1.6445935,0.018173005
-996.4436988,1.668181358,0.017442368
-996.4436988,1.691769216,0.016665461
-996.4436988,1.715357074,0.015851273
-996.4436988,1.738944932,0.01500879
-996.4436988,1.762532789,0.014147
-996.4436988,1.786120647,0.01327489
-996.4436988,1.809708505,0.012401446
-996.4436988,1.833296363,0.011535656
-996.4436988,1.85688422,0.010686508
-996.4436988,1.880472078,0.009862989
-996.4436988,1.904059936,0.009074085
-996.4436988,1.927647794,0.008328785
-996.4436988,1.951235652,0.007636074
-996.4436988,1.974823509,0.007004941
-996.4436988,1.998411367,0.00644432
-996.4436988,2.021999225,0.005962632
-996.4436988,2.045587083,0.005566778
-996.4436988,2.069174941,0.005260751
-996.4436988,2.092762798,0.00504479
-996.4436988,2.116350656,0.004915834
-996.4436988,2.139938514,0.004868854
-996.4436988,2.163526372,0.004898032
-996.4436988,2.187114229,0.004997404
-996.4436988,2.210702087,0.005161007
-996.4436988,2.234289945,0.00538288
-996.4436988,2.257877803,0.005657058
-996.4436988,2.281465661,0.005977579
-996.4436988,2.305053518,0.00633848
-996.4436988,2.328641376,0.006733798
-996.4436988,2.352229234,0.007157569
-996.4436988,2.375817092,0.007603831
-996.4436988,2.39940495,0.008066621
-996.4436988,2.422992807,0.008539976
-996.4436988,2.446580665,0.009017935
-996.4436988,2.470168523,0.009494689
-996.4436988,2.493756381,0.009965129
-996.4436988,2.517344238,0.01042579
-996.4436988,2.540932096,0.010875812
-996.4436988,2.564519954,0.011317145
-996.4436988,2.588107812,0.011753798
-996.4436988,2.61169567,0.012190803
-996.4436988,2.635283527,0.012633506
-996.4436988,2.658871385,0.013087278
-996.4436988,2.682459243,0.013557488
-996.4436988,2.706047101,0.014049506
-996.4436988,2.729634959,0.014568701
-996.4436988,2.753222816,0.015120442
-996.4436988,2.776810674,0.015710101
-996.4436988,2.800398532,0.016343045
-996.4436988,2.82398639,0.017024645
-996.4436988,2.847574247,0.017760271
-996.4436988,2.871162105,0.018555292
-996.4436988,2.894749963,0.019415077
-996.4436988,2.918337821,0.020344997
-996.4436988,2.941925679,0.02135026
-996.4436988,2.965513536,0.022435047
-996.4436988,2.989101394,0.02360085
-996.4436988,3.012689252,0.024844458
-996.4436988,3.03627711,0.026157089
-996.4436988,3.059864967,0.02752548
-996.4436988,3.083452825,0.028933921
-996.4436988,3.107040683,0.030365827
-996.4436988,3.130628541,0.031804503
-996.4436988,3.154216399,0.033233253
-996.4436988,3.177804256,0.034635381
-996.4436988,3.201392114,0.035994191
-996.4436988,3.224979972,0.037292989
-996.4436988,3.24856783,0.038515079
-996.4436988,3.272155688,0.039643765
-996.4436988,3.295743545,0.040662351
-996.4436988,3.319331403,0.041554143
-996.4436988,3.342919261,0.042302443
-996.4436988,3.366507119,0.042890558
